date,bank_prime_loan_rate,owned_housing_units,monetary_base,currency_circulation,federal_minimum_wage,m1_money_stock,m2_money_stock,m2_own_rate,cpi_core_urban_consumers,cpi_core_urban_consumers_exclude_food_energy,employees_payroll,consumer_credit,unemployment_rate,savings_deposits
1974-11-01,10.83,75.1,106933,77.076,2,275.7,895.4,4.243,51.5,51.8,79060,200.697,5.1,333.1
1975-11-01,7.53,96.9,111096,83.867,2.1,289.9,1004.8,3.801,55.3,55.3,78437,203.088,6.7,381.4
1976-11-01,6.5,127.1,118343,91.853,2.3,305.7,1135,3.999,58,58.9,80953,224.659,6.3,443.6
1977-11-01,7.75,154.8,127607,100.672,2.3,331.4,1260.2,4.219,61.9,62.4,84868,260.2333,5.4,487
1978-11-01,10.94,158.6,140734,110.903,2.65,358.5,1358.1,5.357,67.4,67.8,89099,304.4037,4.6,485.3
1979-11-01,15.55,118.7,153809,121.541,2.9,384.4,1466.4,7.069,75.9,75,91287,348.1405,4.7,426
1980-11-01,16.06,112.9,162049,133.085,3.1,415.8,1599,8.127,85.5,84.1,91475,351.6274,6.1,411.3
1981-11-01,16.84,64.6,167230,141.235,3.35,435.1,1741,8.453,93.7,92.7,91888,373.2202,6.8,340.4
1982-11-01,11.85,108.9,177469,152.489,3.35,474.4,1890.1,6.11,98,97.6,89495,388.2322,9.2,360.1
1983-11-01,11,136,189064,167.183,3.35,521.8,2117.6,6.763,101.2,101.8,92592,431.6779,7.2,682.3
1984-11-01,11.77,126.2,200592,178.636,3.35,549.8,2286.3,7.085,105.3,106.5,96738,512.4295,6.1,692.2
1985-11-01,9.5,124.1,219498,191.118,3.35,614.9,2482,5.922,109,111.2,99240,597.2879,5.9,810.9
1986-11-01,7.5,115.6,241953,204.634,3.35,708.8,2705.2,4.657,110.4,115.4,101141,656.898,5.8,930.4
1987-11-01,8.78,118.8,262358,222.424,3.35,755.5,2821.6,4.985,115.4,120.5,104232,687.8179,4.9,941.9
1988-11-01,10.05,113,279159,239.874,3.35,786.9,2982.7,5.664,120.3,125.8,107500,732.6653,4.6,933.4
1989-11-01,10.5,96.6,287814,251.209,3.35,790.2,3136,6.031,125.9,131.3,109657,793.166,4.5,889.4
1990-11-01,10,81.4,313670,278.11,3.8,824.6,3265.3,5.637,133.8,138.2,110205,816.4407,5.2,924.4
1991-11-01,7.58,75.6,328415,298.719,4.25,892.3,3371.2,3.988,137.8,144.4,109229,801.1461,6,1033.4
1992-11-01,6,84.5,355924,323.607,4.25,1021.4,3433.4,2.396,142,149.3,110280,805.8319,6.3,1185.5
1993-11-01,6,102.3,391960,355.65,4.25,1129,3474.7,2.043,145.8,153.9,112939,860.1599,5.6,1219
1994-11-01,8.15,113.4,423063,393.215,4.25,1156.2,3491.8,2.63,149.7,158.2,116932,985.8527,4.7,1168.5
1995-11-01,8.75,107.2,439093,413.359,4.25,1138.6,3622.9,3.04,153.6,163,119132,1137.4881,4.6,1125.9
1996-11-01,8.25,111.5,457010,436.408,4.75,1087.4,3792.3,2.948,158.6,167.2,121984,1246.9542,4.4,1263.7
1997-11-01,8.5,112.4,484618,465.886,5.15,1074.1,4005.9,3.084,161.5,170.8,125255,1317.6929,3.7,1387.3
1998-11-01,7.89,124.2,518349,501.453,5.15,1098,4336.4,2.837,164,174.8,128290,1414.6442,3.5,1579.9
1999-11-01,8.37,127.4,582758,565.429,5.15,1113,4600.3,2.955,168.3,178.4,131510,1531.9609,3.2,1741.9
2000-11-01,9.5,117.1,590277,575.002,5.15,1092.1,4871.4,3.537,174.1,183,133614,1705.9647,3.2,1854.4
2001-11-01,5.1,121,639465,621.87,5.15,1169,5370.6,1.484,177.4,188.1,132155,1863.0953,4.7,2265.4
2002-11-01,4.35,133,688494,667.444,5.15,1205.3,5743.2,1.001,181.3,191.8,131667,1970.6353,5,2757.3
2003-11-01,4,153.7,730637,706.305,5.15,1293.9,6062.4,0.648,184.5,193.9,131565,2072.467,5.1,3166.5
2004-11-01,4.93,138.1,770493,746.581,5.15,1371,6391.1,0.891,191,198.1,133649,2191.7173,4.6,3505.7
2005-11-01,7,160.7,793472,774.619,5.15,1373.6,6641.3,1.681,197.6,202.3,136174,2294.232,4.3,3591
2006-11-01,8.25,115.2,816786,800.542,5.15,1368.5,7010.1,2.441,201.5,207.6,138234,2423.4063,3.8,3661.3
2007-11-01,7.5,88.8,834315,819.857,5.85,1370.5,7422.1,2.429,210.177,212.435,139510,2582.568,4,3859.1
2008-11-01,4,47.5,1442251,864.074,6.55,1513.7,8001.3,1.178,212.425,216.69,136761,2634.9913,5.9,4026.6
2009-11-01,3.25,42.3,2024608,918.242,7.25,1683.1,8488.7,0.434,216.33,220.384,131236,2533.1247,8.7,4779.7
2010-11-01,3.25,40.6,1973139,970.89,7.25,1828.7,8762.8,0.288,218.803,222.077,131947,2511.5008,8.7,5288.6
2011-11-01,3.25,53,2605420,1055.231,7.25,2164.4,9621.6,0.203,226.23,226.859,133893,2727.8413,7.6,5998
2012-11-01,3.25,62.2,2646809,1149.019,7.25,2415.2,10331.8,0.135,230.221,231.263,136039,2884.3867,6.8,6620.1
2013-11-01,3.25,83.8,3684563,1220.844,7.25,2607.2,10964.7,0.102,233.069,235.243,138543,3058.8558,6.1,7139.8
2014-11-01,3.25,75.8,3830424,1309.492,7.25,2861.1,11602.9,0.1,236.151,239.248,141331,3268.1256,5.1,7584.5
2015-11-01,3.25,89.9,4006725,1402.991,7.25,3056.2,12286.5,0.097,237.336,244.075,144066,3507.277,4.5,8182.2
2016-11-01,3.5,87.8,3629770,1488.54,7.25,3328.6,13185.8,0.126,241.353,249.227,146482,3617.2906,4.1,8813.8
2017-11-01,4.25,97.9,3907735,1592.131,7.25,3603.6,13812,0.235,246.669,253.492,148774,3804.4272,3.5,9107
2018-11-01,5.25,91.2,3476330,1701.602,7.25,3670.2,14272.8,0.452,252.038,259.105,151375,3984.8607,3.2,9276.6
