date,bank_prime_loan_rate,owned_housing_units,monetary_base,currency_circulation,federal_minimum_wage,m1_money_stock,m2_money_stock,m2_own_rate,cpi_core_urban_consumers,cpi_core_urban_consumers_exclude_food_energy,employees_payroll,consumer_credit,unemployment_rate,savings_deposits
1959-11-01,5,104.7,50877,32.187,1,141.8,297.8,1.31,29.4,30.5,54168,55.214,4.7,144.5
1960-11-01,4.5,92.8,50251,32.458,1,142.3,311.7,1.448,29.8,30.8,54478,60.294,5.1,156.8
1961-11-01,4.5,103,50484,33.233,1.15,146.3,334.1,1.647,30,31.2,55243,62.142,4.9,173
1962-11-01,4.5,120.9,51344,34.562,1.15,148.8,360.5,2.163,30.4,31.6,56540,68.015,4.6,192
1963-11-01,4.5,119.3,53775,36.659,1.25,155.2,392.3,2.301,30.8,32.1,57721,75.954,4.5,212
1964-11-01,4.5,110.6,56786,38.908,1.25,161.6,422.9,2.379,31.2,32.5,59677,85.27,3.8,232.8
1965-11-01,4.5,110.5,59614,41.335,1.25,168.2,456.7,2.557,31.7,32.9,62465,95.753,3.1,254.5
1966-11-01,6,72.8,62993,43.711,1.25,172.9,478.1,2.679,32.9,34.1,65508,101.838,2.7,252.5
1967-11-01,5.68,118.4,66453,45.934,1.4,183.8,521.6,2.738,33.8,35.3,67210,106.779,2.8,263.3
1968-11-01,6.25,127.1,71727,49.398,1.6,197.6,562.5,2.801,35.4,37.1,69509,116.708,2.5,267.3
1969-11-01,8.5,94.6,75569,52.469,1.6,205,584.8,2.841,37.5,39.3,71630,127.131,2.5,262.9
1970-11-01,7.28,126.9,79468,55.865,1.6,214.5,618.2,3.155,39.6,41.9,70983,131.406,4.4,256.6
1971-11-01,5.53,173.7,85491,59.946,1.6,228.8,701.2,3.208,40.9,43.3,72479,146.295,4.6,287.7
1972-11-01,5.75,185.7,90531,64.534,1.6,247.7,790.2,3.288,42.4,44.6,75704,164.992,3.9,316.3
1973-11-01,9.75,133.3,98343,69.95,1.6,262.7,845.3,4.617,45.9,46.6,78707,190.499,3.5,322.8
