date,bank_prime_loan_rate,owned_housing_units,monetary_base,currency_circulation,federal_minimum_wage,m1_money_stock,m2_money_stock,m2_own_rate,cpi_core_urban_consumers,cpi_core_urban_consumers_exclude_food_energy,employees_payroll,consumer_credit,unemployment_rate,savings_deposits
1997-01-01,8.25,82.2,462505,444.684,4.75,1087.9,3829.6,2.92,159.1,167.5,119421,1264.2104,5.2,1278
1998-01-01,8.5,91.2,491235,474.597,5.15,1080.2,4052.5,3.043,161.6,171.2,122842,1329.3962,4.6,1409.3
1999-01-01,7.75,106.8,527870,511.037,5.15,1103.9,4400,2.734,164.3,175.3,125708,1441.9286,4.1,1617
2000-01-01,8.5,104,601868,594.679,5.15,1126.9,4662.6,3.037,168.8,178.8,129005,1551.8758,4,1734.6
2001-01-01,9.05,106.4,598666,585.106,5.15,1100.4,4968.2,3.352,175.1,183.5,130681,1744.1743,4.1,1889.9
2002-01-01,4.75,110.4,653760,635.429,5.15,1191.8,5436.9,1.228,177.1,188.2,128890,1883.4792,5.8,2337.6
2003-01-01,4.25,117.8,699262,679.411,5.15,1225.5,5779.2,0.833,181.7,191.8,128577,2000.6933,5.9,2796
2004-01-01,4,124.5,736438,713.752,5.15,1301.8,6044.4,0.666,185.2,194,128726,2108.3252,5.7,3168.4
2005-01-01,5.25,142.9,775222,750.197,5.15,1361.5,6390.1,1.005,190.7,198.4,130713,2218.5904,5.2,3493.4
2006-01-01,7.26,153,804172,786.823,5.15,1375.5,6692.5,1.865,198.3,202.6,133320,2360.4279,4.6,3599.9
2007-01-01,8.25,95,822978,808.848,5.15,1369,7083.1,2.393,202.416,208.009,135334,2456.9939,4.6,3686.5
2008-01-01,6.98,70.8,830632,817.367,5.85,1375.9,7487.8,2.218,211.08,213.138,136268,2620.4651,4.8,3850.5
2009-01-01,3.25,31.9,1712014,886.184,6.55,1580.7,8264.9,0.67,211.143,216.719,132042,2648.6914,7.9,4187.4
2010-01-01,3.25,38.9,1994962,921.235,7.25,1674.2,8451.6,0.37,216.687,220.086,127820,2541.7022,9.9,4831.4
2011-01-01,3.25,40.2,2047917,978.912,7.25,1855.6,8837,0.28,220.223,222.177,128778,2655.6747,9.2,5368.9
2012-01-01,3.25,47.2,2640764,1069.691,7.25,2209.2,9750.5,0.166,226.665,227.237,131113,2767.5828,8.3,6090.5
2013-01-01,3.25,58.7,2741743,1160.082,7.25,2481.3,10495.1,0.137,230.28,231.612,133081,2928.6495,7.9,6697.3
2014-01-01,3.25,60.7,3728483,1231.631,7.25,2701.7,11089.3,0.103,233.916,235.367,135488,3108.1268,6.6,7164.9
2015-01-01,3.25,73,4017103,1333.447,7.25,2941.1,11747,0.102,233.707,239.248,138511,3324.1943,5.6,7645.1
2016-01-01,3.5,74.3,3792723,1417.331,7.25,3094,12467.5,0.11,236.916,244.528,141088,3427.9633,4.9,8218.4
2017-01-01,3.75,82.3,3595455,1504.579,7.25,3388.6,13276.1,0.136,242.839,250.083,143393,3657.6888,4.8,8837.6
2018-01-01,4.5,91.6,3824795,1611.341,7.25,3652.7,13855.1,0.264,247.867,254.638,145428,3837.0967,4.1,9069.7
