date,bank_prime_loan_rate,owned_housing_units,monetary_base,currency_circulation,federal_minimum_wage,m1_money_stock,m2_money_stock,m2_own_rate,cpi_core_urban_consumers,cpi_core_urban_consumers_exclude_food_energy,employees_payroll,consumer_credit,unemployment_rate,savings_deposits
1959-01-01,4,96.2,50463,31.555,1,142.2,289.8,0,29,29.9,51721,49.076,6.5,136
1960-01-01,5,86,50661,32.041,1,143.3,301.5,1.316,29.3,30.5,53448,56.142,5.5,146.7
1961-01-01,4.5,70.4,49103,32.3,1,144.5,317.5,1.452,29.8,30.8,52780,60.77,7.1,160.3
1962-01-01,4.5,81.2,50603,33.327,1.15,148.9,341.1,1.883,30,31.2,53922,62.324,6.1,176.6
1963-01-01,4.5,79,51635,34.616,1.15,152.1,369.1,2.149,30.4,31.5,55108,68.644,6,196.4
1964-01-01,4.5,97.9,54238,36.873,1.25,157.9,399.5,2.285,30.9,32.1,56460,77.404,5.7,215.8
1965-01-01,4.5,81.7,57138,39.046,1.25,165.3,432.3,2.405,31.2,32.6,58561,87.098,4.7,237.2
1966-01-01,5,79.4,60520,41.618,1.25,173.8,467.1,2.606,31.8,32.9,61529,96.922,3.7,258
1967-01-01,5.96,59.1,63850,44,1.25,176.6,486.4,2.66,32.9,34.1,64439,102.072,3.6,253
1968-01-01,6,80.5,67698,46.434,1.4,189.2,531.9,2.713,34.1,35.5,65853,106.7,3.4,263.4
1969-01-01,6.95,101.5,72865,49.784,1.6,203.8,573.5,2.783,35.6,37.3,68494,118.149,3,268.6
1970-01-01,8.5,66.4,76398,52.737,1.6,210.8,592,2.896,37.8,39.6,70229,127.76,3.4,260.9
1971-01-01,6.29,110.6,81170,56.192,1.6,220.4,635.5,3.116,39.8,42.1,69922,134.259,5.6,261.7
1972-01-01,5.18,149.1,87220,60.224,1.6,235,720,3.15,41.1,43.4,71481,147.712,5.4,292.5
1973-01-01,6,146.6,91688,65.289,1.6,256.4,812.3,3.293,42.6,44.6,74613,169.281,4.6,320.1
1974-01-01,9.73,84.5,100376,70.987,1.6,268.6,861.5,4.517,46.6,46.8,77045,191.222,4.6,324.7
1975-01-01,10.05,56.1,107745,77.831,2.1,278.5,908,3.903,52.1,52.2,76189,198.898,7.8,337.9
1976-01-01,7,72.5,111925,84.744,2.3,293.2,1028.3,3.76,55.6,55.7,77376,205.253,7.6,390.7
1977-01-01,6.25,81.3,119677,92.519,2.3,313.6,1167.5,3.935,58.5,59.2,79540,226.1682,7.1,454.9
1978-01-01,7.93,88.6,130211,102.041,2.65,339.3,1282.3,4.169,62.5,63,83442,263.3588,6,490.4
1979-01-01,11.75,88.2,144328,112.335,2.9,363.3,1375.2,5.541,68.3,68.4,87650,310.7776,5.4,469.4
1980-01-01,15.25,73.1,155995,123.088,3.1,390.4,1486.2,7.22,77.8,76.6,89631,351.6883,5.9,415.1
1981-01-01,20.16,84.5,161080,133.836,3.35,416.4,1610.6,9.254,87,85.3,89837,354.3489,7.1,380.8
1982-01-01,15.75,47.2,169811,142.941,3.35,448.4,1772.8,8.371,94.3,93.2,89328,376.5504,8.3,345.4
1983-01-01,11.16,91.3,178899,153.954,3.35,482.8,1963.9,5.96,97.8,97.6,87729,393.1124,10.4,521.6
1984-01-01,11,109.1,191350,169.89,3.35,530.2,2145,6.824,101.9,102.3,91374,443.2397,8,686.4
1985-01-01,10.61,105.4,203177,180.656,3.35,561.1,2339.6,6.414,105.5,106.9,95049,525.4118,7.2,721.2
1986-01-01,9.5,115.6,221697,194.166,3.35,626.6,2510.8,5.862,109.6,111.6,97397,607.369,6.6,818.1
1987-01-01,7.5,105.1,246971,208.204,3.35,737.1,2753.5,4.58,111.2,115.8,99334,655.3281,6.6,952.3
1988-01-01,8.75,78.2,266252,226.968,3.35,764.2,2857.2,5.037,115.7,120.8,102380,695.2348,5.7,935.9
1989-01-01,10.5,100.1,282165,244.685,3.35,792.1,2998.9,5.88,121.1,126.4,105743,753.0092,5.3,915
1990-01-01,10.11,99.2,293132,257.126,3.35,800.7,3170.4,5.832,127.4,132,107573,802.8418,5.4,897.3
1991-01-01,9.52,52.5,309597,284.909,3.8,831.7,3289.3,5.296,134.6,139.4,107426,812.7425,6.3,923
1992-01-01,6.5,71.6,333149,304.146,4.25,916.4,3383.2,3.341,138.1,144.9,106726,805.8402,7.4,1059.5
1993-01-01,6,70.5,360650,331.004,4.25,1039.8,3423.6,2.34,142.6,149.9,108103,816.4134,7.3,1181.8
1994-01-01,6,76.2,397786,363.472,4.25,1141.7,3480.1,2.012,146.2,154.3,110839,879.4282,6.7,1217.9
1995-01-01,8.5,84.5,426222,400.687,4.25,1159.5,3495.3,2.847,150.3,158.7,114662,1018.3564,5.6,1130.5
1996-01-01,8.5,90.7,441733,418.642,4.25,1130.2,3651.3,2.962,154.4,163.4,116431,1158.3448,5.6,1146.5
