date,bank_prime_loan_rate,owned_housing_units,monetary_base,currency_circulation,federal_minimum_wage,m1_money_stock,m2_money_stock,m2_own_rate,cpi_core_urban_consumers,cpi_core_urban_consumers_exclude_food_energy,employees_payroll,consumer_credit,unemployment_rate,savings_deposits
1959-04-01,4,150.8,50058,31.3,1,139.7,290.2,1.231,29,30,52774,49.789,4.7,138.5
1960-04-01,5,123,49656,31.714,1,139.7,300.3,1.373,29.5,30.6,54285,57.001,4.6,148.8
1961-04-01,4.5,112.8,48455,31.916,1,142.4,320.2,1.507,29.8,30.9,53135,59.411,6.4,164.5
1962-04-01,4.5,147.8,50365,33.231,1.15,146.7,346,2.098,30.2,31.3,55139,63.236,4.9,181.2
1963-04-01,4.5,164.2,51489,34.715,1.15,150,373.8,2.202,30.5,31.7,56152,70.171,4.8,201.8
1964-04-01,4.5,147.1,54052,36.883,1.25,155.2,402.4,2.336,30.9,32.2,57528,79.25,4.4,220.5
1965-04-01,4.5,148.6,57089,38.943,1.25,162.6,436.2,2.486,31.4,32.7,59891,89.34,3.8,242.2
1966-04-01,5.5,140.9,60510,41.666,1.25,172.4,470.1,2.665,32.3,33.3,63096,98.033,2.8,256.2
1967-04-01,5.5,113.7,63274,43.805,1.4,174.7,492.9,2.703,33.1,34.4,65144,102.056,2.9,255.2
1968-04-01,6.2,162,67953,46.632,1.6,187.3,536.9,2.782,34.4,35.9,67260,108.721,2.6,264.4
1969-04-01,7.5,159,72361,49.703,1.6,201.5,577.4,2.83,36.3,38.1,69799,120.533,2.5,268.3
1970-04-01,8,128.4,76294,52.867,1.6,208.1,592.9,3.125,38.5,40.3,71105,127.308,3.5,253.5
1971-04-01,5.28,201.1,81641,56.716,1.6,221.4,663.5,3.131,40.1,42.3,70795,135.807,4.8,274.9
1972-04-01,4.97,211.6,87888,60.722,1.6,236.9,743.8,3.178,41.5,43.7,72894,150.887,4.6,303.7
1973-04-01,6.61,205,92586,66.063,1.6,254,825.4,3.481,43.6,45.1,76132,173.981,3.9,326.7
1974-04-01,10.02,159.5,101743,72.205,1.6,268.5,878.6,4.55,48,47.9,78035,192.495,4,332.5
1975-04-01,7.5,97.9,106816,78.533,2.1,277.7,941.1,3.725,52.9,53.3,76142,196.48,7.6,356.6
1976-04-01,6.75,137.2,113093,86.523,2.3,296.1,1066.9,3.86,56.1,56.7,79042,208.062,6.3,417.1
1977-04-01,6.25,182.2,120646,94.224,2.3,318.6,1206.6,3.967,60,60.3,81539,233.2006,5.9,473.2
1978-04-01,8,197.5,131177,103.221,2.65,343.4,1307.4,4.112,63.9,64.2,86037,271.527,4.8,501.1
1979-04-01,11.75,161,144410,113.431,2.9,371.3,1408.4,5.665,70.6,70.2,89313,318.0583,4.6,461.4
1980-04-01,19.77,96.2,157858,123.891,3.1,386.7,1507.7,8.522,81,79.3,90747,348.2816,5.9,388.3
