date,bank_prime_loan_rate,owned_housing_units,monetary_base,currency_circulation,federal_minimum_wage,m1_money_stock,m2_money_stock,m2_own_rate,cpi_core_urban_consumers,cpi_core_urban_consumers_exclude_food_energy,employees_payroll,consumer_credit,unemployment_rate,savings_deposits
1981-04-01,17.15,123,162371,135.045,3.35,431,1664.5,8.629,89.1,86.8,91157,356.1395,6,374.7
1982-04-01,16.5,84.1,168703,143.942,3.35,451.1,1807.9,8.804,94.9,94.5,89993,375.488,8.1,346.6
1983-04-01,10.5,135.8,180038,156.81,3.35,498.6,2033.7,6.26,98.6,98.6,89187,394.9542,9.1,663.5
1984-04-01,11.93,172.7,192249,170.242,3.35,539.9,2196,7.157,103.1,103.5,93614,458.0242,6.8,704.9
1985-04-01,10.5,175.8,205511,180.854,3.35,575.1,2379.7,6.476,106.9,108.2,96875,544.4141,6.5,750.8
1986-04-01,8.83,188.2,225063,194.179,3.35,647,2564.8,5.482,108.6,112.7,98973,614.3669,6.2,836.9
1987-04-01,7.75,159.3,249579,209.242,3.35,752,2778.9,4.584,112.7,117.4,101369,651.1136,5.5,972
1988-04-01,8.5,153.2,268448,228.282,3.35,777.9,2925.3,4.956,117.1,122.4,104587,700.6261,4.6,946.6
1989-04-01,11.5,129.4,281630,243.844,3.35,790.2,3023.2,6.47,123.1,128,107611,759.2769,4.5,882.9
1990-04-01,10,119,297404,259.829,3.8,816.2,3219.8,5.862,128.9,134.2,109365,793.2944,4.8,914.8
1991-04-01,9,99.7,314068,287.681,4.25,851.9,3349.5,4.834,135.2,141.1,108072,802.1835,5.9,960.7
1992-04-01,6.5,107.6,333124,305.007,4.25,953.7,3418.9,3.084,139.5,146.6,108333,791.9192,6.6,1119.1
1993-04-01,6,117.8,368849,335.24,4.25,1057.4,3430.4,2.213,144,151.7,110144,813.5618,6.2,1193.5
1994-04-01,6.45,137.6,406948,370.681,4.25,1152.2,3503.1,2.095,147.4,155.9,113474,894.0188,5.5,1228.1
1995-04-01,9,116.9,433540,404.773,4.25,1160.3,3522.4,3.08,151.9,160.7,116909,1035.3534,4.9,1092.6
1996-04-01,8.25,146.6,443376,418.346,4.25,1131.8,3720.7,2.862,156.3,165,119013,1173.3516,4.7,1191.8
1997-04-01,8.5,142.3,465478,445.724,4.75,1074.5,3895.9,2.975,160.2,169.4,122140,1265.1737,4.2,1326.3
1998-04-01,8.5,144.9,494118,475.776,5.15,1087.7,4164.6,3.025,162.5,173,125382,1351.0527,3.6,1477.9
1999-04-01,7.75,144.6,535171,519.339,5.15,1113.6,4491.8,2.677,166.2,176.8,128555,1448.81,3.6,1683.2
2000-04-01,9,149.5,578588,564.734,5.15,1125.7,4796,3.175,171.3,180.9,131762,1564.2065,3.2,1798.1
2001-04-01,7.8,151.3,601727,587.928,5.15,1126.7,5163.2,2.815,176.9,185.6,132349,1765.9235,3.7,2026.6
2002-04-01,4.75,148.8,663401,643.58,5.15,1196.9,5519.5,1.169,179.8,190.3,130558,1895.6902,5.2,2475.5
2003-04-01,4.25,151.2,709552,687.055,5.15,1259.6,5924.4,0.761,183.8,193.1,130148,2004.1979,5.3,2938.5
2004-04-01,4,179.5,741207,716.778,5.15,1343.2,6221.8,0.585,188,196.5,131494,2101.0033,4.8,3339.4
2005-04-01,5.75,184.6,775537,753.66,5.15,1369.4,6494.4,1.237,194.6,200.9,133589,2218.3824,4.4,3552.5
2006-04-01,7.75,160.5,809191,790.544,5.15,1393.6,6845.5,2.058,201.5,205.5,136140,2350.66,4.1,3672.1
2007-04-01,8.25,135.6,822978,807.557,5.15,1392.3,7281.5,2.527,206.686,210.311,137730,2449.7818,3.8,3815
2008-04-01,5.24,89.5,830234,813.937,5.85,1406.6,7752.8,1.432,214.823,215.059,137914,2611.8127,4.3,4028.1
2009-04-01,3.25,42.5,1753246,903.412,6.55,1627.7,8429.3,0.567,213.24,219.143,131859,2570.8182,8.1,4401.5
2010-04-01,3.25,62,2014449,935.054,7.25,1716,8589.3,0.345,218.009,221.166,130212,2487.7227,8.9,5042
2011-04-01,3.25,49,2496574,1009.366,7.25,1918,9042.5,0.253,224.906,224.118,131715,2635.195,8.1,5572.2
2012-04-01,3.25,66.8,2639850,1099.978,7.25,2268.6,9937.7,0.159,230.085,229.303,133854,2758.8657,7.2,6279.8
2013-04-01,3.25,76.3,3011737,1178.421,7.25,2542.3,10643.6,0.125,232.531,233.236,135923,2928.5196,6.6,6828.4
2014-04-01,3.25,94.9,3930681,1270.128,7.25,2809.6,11319.6,0.102,237.072,237.509,138325,3125.5115,5.5,7310.8
2015-04-01,3.25,108.5,4059374,1359.926,7.25,3035.4,11992.9,0.102,236.599,241.802,141283,3343.7308,4.7,7838.2
2016-04-01,3.5,106.2,3872940,1444.638,7.25,3234.5,12767.8,0.115,239.261,246.992,143909,3447.4511,4.3,8417.8
2017-04-01,4,105.2,3821697,1539.472,7.25,3489.1,13559.1,0.169,244.524,251.642,146103,3660.3978,3.8,9015.3
2018-04-01,4.75,117.5,3727119,1639.951,7.25,3698.5,14064.4,0.316,250.546,257.025,148383,3817.4019,3.4,9196.7
