date,bank_prime_loan_rate,owned_housing_units,monetary_base,currency_circulation,federal_minimum_wage,m1_money_stock,m2_money_stock,m2_own_rate,cpi_core_urban_consumers,cpi_core_urban_consumers_exclude_food_energy,employees_payroll,consumer_credit,unemployment_rate,savings_deposits
1959-10-01,5,120,50660,31.972,1,140.7,296.9,1.301,29.4,30.5,53991,54.56,4.1,144.1
1960-10-01,4.5,110.4,50130,32.179,1,141.2,309.9,1.439,29.8,30.8,54779,59.829,4.5,155.8
1961-10-01,4.5,124.8,50032,32.861,1.15,144.4,331.5,1.628,30,31.2,55160,61.332,4.8,171.8
1962-10-01,4.5,135.2,51552,34.103,1.15,147,357.5,2.16,30.4,31.6,56688,67.183,4,190.6
1963-10-01,4.5,165.3,53117,36.11,1.25,152.8,388.8,2.304,30.8,32,57907,75.245,4,210.7
1964-10-01,4.5,141.2,56162,38.355,1.25,159.7,419.9,2.353,31.1,32.4,59380,84.669,3.7,231.3
1965-10-01,4.5,133.1,59137,40.723,1.25,166.5,453.6,2.543,31.7,32.9,62245,94.979,2.9,252.9
1966-10-01,6,76.6,62603,43.112,1.25,171.6,476.9,2.689,32.9,34,65337,101.198,2.6,252.9
1967-10-01,5.5,135.4,65894,45.383,1.4,181.9,519.3,2.739,33.7,35.2,66684,105.777,2.9,263.5
1968-10-01,6.25,140.8,70830,48.632,1.6,194.2,558.5,2.803,35.3,36.9,69187,115.603,2.5,267.5
1969-10-01,8.5,123.4,74436,51.682,1.6,202.9,583.7,2.846,37.3,39.1,71601,126.457,2.7,264.1
1970-10-01,7.5,140.9,78691,55.063,1.6,212.3,614,3.15,39.4,41.6,71022,131.582,4.1,256.3
1971-10-01,5.9,179.7,84692,59.185,1.6,226.6,695.6,3.206,40.9,43.2,72180,144.444,4.4,287.3
1972-10-01,5.73,216.5,91423,63.378,1.6,244.2,783.6,3.279,42.3,44.5,75290,162.99,4.2,315.5
1973-10-01,9.94,147.1,97484,68.93,1.6,258.3,839.3,4.174,45.6,46.4,78306,188.672,3.3,324.3
1974-10-01,11.68,96.7,105704,75.698,2,271.7,890.4,4.145,51.1,51.3,79381,201.114,4.4,333
1975-10-01,7.96,123.6,109675,82.358,2.1,284.9,995.6,3.833,54.9,54.9,78283,202.212,6.7,379.7
1976-10-01,6.77,148.4,116554,90.223,2.3,302.9,1125.1,3.983,57.9,58.6,80593,222.894,6.1,439.8
1977-10-01,7.52,193.1,125749,98.822,2.3,327.9,1255.9,4.247,61.6,62.1,84423,256.8037,5.3,488.2
1978-10-01,9.94,192.1,137572,108.854,2.65,354.9,1355.3,5.05,67.1,67.3,88549,300.2973,4.4,494.9
1979-10-01,14.39,169,151533,119.971,2.9,382.6,1463.6,6.625,75.2,74.1,91089,344.7835,4.6,442.7
1980-10-01,13.79,152.7,160925,130.894,3.1,410.7,1588.5,7.221,84.8,83.2,91128,351.1126,6.1,420
1981-10-01,18.45,87.2,164972,139.169,3.35,429.7,1726.4,9.175,93.4,92.3,92054,371.9588,6.5,343.2
1982-10-01,12.52,110.5,174957,150.325,3.35,465.7,1875.6,6.37,98.2,97.7,89598,386.5698,8.8,354.5
1983-10-01,11,159.3,186416,164.388,3.35,517.2,2102.1,6.833,101,101.3,92233,425.6071,7.4,684.2
1984-10-01,12.58,152.3,198076,176.428,3.35,542.2,2259.7,7.636,105.3,106.3,96362,506.9955,6.2,684.7
1985-10-01,9.5,173,216000,188.788,3.35,605.3,2466.3,5.857,108.7,110.7,98987,591.0731,5.9,804.4
1986-10-01,7.5,154.8,237005,201.926,3.35,692.2,2684.4,4.628,110.3,115.1,100886,656.736,5.9,918.3
1987-10-01,9.07,139.1,258112,218.624,3.35,753.2,2811.2,5.002,115.3,120.1,103893,683.7101,4.9,952.8
1988-10-01,10,135.1,275440,237.081,3.35,780.8,2962,5.561,120.2,125.5,107013,728.1347,4.4,933.9
1989-10-01,10.5,130.1,284238,249.132,3.35,783.2,3109.3,6.072,125.6,130.9,109217,787.047,4.4,879.6
1990-10-01,10,94.2,308764,274.365,3.8,816.1,3253.7,5.696,133.5,137.8,110242,813.6063,4.8,922
1991-10-01,8,101.8,323057,295.385,4.25,874,3353.8,4.221,137.4,143.9,109212,799.4509,5.8,1018.5
1992-10-01,6,111.8,349808,320.192,4.25,1000.8,3418.7,2.414,141.8,149,110039,800.7701,6.3,1174.5
1993-10-01,6,123.3,388226,353.161,4.25,1111.6,3452.7,2.056,145.7,153.5,112596,849.4021,5.7,1212.5
1994-10-01,7.75,130.6,418679,388.615,4.25,1147.9,3478.2,2.496,149.5,158,116324,971.0172,4.8,1178.7
1995-10-01,8.75,126.2,436570,411.562,4.25,1132.9,3602.3,3.035,153.7,162.8,118893,1116.8562,4.5,1119.5
1996-10-01,8.25,130.8,452496,432.318,4.75,1078.4,3757,2.952,158.3,167,121524,1235.111,4.2,1247.7
1997-10-01,8.5,139,477667,459.988,5.15,1057.6,3967.3,3.098,161.6,170.8,124861,1313.4074,3.8,1373.7
1998-10-01,8.12,155.5,512552,496.28,5.15,1077.4,4281.5,2.934,164,174.7,127887,1408.541,3.5,1555.1
1999-10-01,8.25,142.9,564665,550.011,5.15,1095.1,4565,2.896,168.2,178.3,131049,1519.3952,3.3,1738.3
2000-10-01,9.5,139.7,585252,571.48,5.15,1092.2,4843.5,3.51,174,182.8,133249,1685.7886,3.1,1835.2
2001-10-01,5.53,139.8,635154,615.01,5.15,1159.2,5307.7,1.713,177.7,187.6,132344,1832.5003,4.4,2200.8
2002-10-01,4.75,146.8,681855,662.238,5.15,1196.6,5671.3,1.125,181.3,191.8,131546,1960.5578,4.9,2689.5
2003-10-01,4,173.5,724756,700.706,5.15,1288.8,6034.2,0.649,185,194.3,131401,2069.6832,5,3127.5
2004-10-01,4.75,181.3,763876,740.816,5.15,1351.4,6341.6,0.829,190.9,198.2,133398,2181.5729,4.5,3479
2005-10-01,6.75,180.4,787216,768.814,5.15,1365.4,6600.6,1.605,199.2,202.3,135617,2282.037,4.1,3575
2006-10-01,8.25,130.6,809839,794.139,5.15,1360.3,6948,2.462,201.8,207.8,137849,2406.8593,3.6,3629.4
2007-10-01,7.74,115,829039,813.658,5.85,1369.4,7363.5,2.508,208.936,212.318,139198,2563.149,3.9,3824.2
2008-10-01,4.56,68.2,1136412,849.122,6.55,1462.6,7910.8,1.352,216.573,217.023,137442,2638.9642,5.5,4019.7
2009-10-01,3.25,44.5,1936314,915.317,7.25,1664.3,8413.6,0.46,216.177,220.731,131188,2537.2823,8.8,4680
2010-10-01,3.25,45.4,1961720,960.369,7.25,1767.4,8697.6,0.299,218.711,222.079,131641,2505.999,8.4,5256.5
2011-10-01,3.25,53.2,2637757,1042.129,7.25,2128.1,9538.4,0.212,226.421,226.743,133558,2705.2721,7.9,5935.4
2012-10-01,3.25,77,2611775,1134.623,7.25,2416.2,10234.7,0.14,231.317,231.276,135649,2863.9016,6.9,6513.2
2013-10-01,3.25,78.4,3589515,1213.425,7.25,2618.4,10920.5,0.106,233.546,235.162,138019,3045.1622,6.4,7069.8
2014-10-01,3.25,92,4001451,1294.037,7.25,2865,11527,0.099,237.433,239.413,140866,3252.9579,5.1,7491.7
2015-10-01,3.25,90.9,4060469,1391.429,7.25,3011.9,12160.2,0.097,237.838,243.985,143645,3489.6662,4.5,8096.4
2016-10-01,3.5,114.5,3572132,1475.811,7.25,3327.7,13072.8,0.123,241.729,249.218,146049,3593.19,4.3,8716.9
2017-10-01,4.25,109.6,3829910,1583.264,7.25,3601.7,13743.2,0.229,246.663,253.638,148200,3772.7804,3.5,9044.5
2018-10-01,5.25,105.7,3520863,1690.132,7.25,3715.1,14211.6,0.434,252.885,259.063,150853,3960.608,3.3,9200.3
