date,bank_prime_loan_rate,owned_housing_units,monetary_base,currency_circulation,federal_minimum_wage,m1_money_stock,m2_money_stock,m2_own_rate,cpi_core_urban_consumers,cpi_core_urban_consumers_exclude_food_energy,employees_payroll,consumer_credit,unemployment_rate,savings_deposits
1959-06-01,4.5,147.8,50337,31.803,1,139.4,292.5,1.251,29.1,30.1,54038,51.878,4.2,140.8
1960-06-01,5,122.8,50015,31.92,1,137.9,300.9,1.395,29.6,30.6,54768,58.622,4.4,150.8
1961-06-01,4.5,134.8,48875,32.239,1,141.2,322.7,1.539,29.8,30.9,54455,60.597,5.8,167.1
1962-06-01,4.5,136.8,50908,33.617,1.15,144.8,347.7,2.13,30.2,31.4,56157,65.435,4.5,184.1
1963-06-01,4.5,154.2,52195,35.281,1.15,148.7,376.7,2.234,30.6,31.8,57206,72.217,4.4,205.2
1964-06-01,4.5,157.2,54940,37.523,1.25,153.9,405.3,2.349,31,32.3,58805,81.812,4.1,223.9
1965-06-01,4.5,151.8,57761,39.49,1.25,160.5,438.4,2.502,31.6,32.7,61319,92.243,3.6,245.4
1966-06-01,5.52,120.6,61102,42.28,1.25,170,469.6,2.689,32.4,33.5,64784,100.205,2.9,254.4
1967-06-01,5.5,125.4,64005,44.558,1.4,175.6,500.9,2.729,33.3,34.6,66451,104.131,3.1,258.2
1968-06-01,6.5,137.9,68874,47.481,1.6,188.2,542.2,2.795,34.7,36.2,68617,111.404,2.8,265
1969-06-01,8.23,147.3,73509,50.693,1.6,200.2,578.7,2.838,36.6,38.3,71363,123.675,2.7,268.3
1970-06-01,8,135.2,76900,54.124,1.6,206.9,597.5,3.144,38.8,40.8,71766,129.421,3.8,252.7
1971-06-01,5.5,193.8,82894,57.967,1.6,222.9,675.9,3.145,40.6,42.8,72006,138.912,4.7,280.8
1972-06-01,5.04,223.1,88896,61.877,1.6,236.1,753.2,3.213,41.7,44,74507,156.222,4.5,308
1973-06-01,7.49,202.6,93732,67.606,1.6,256.4,837.2,3.825,44.2,45.4,77630,180.398,3.8,330
1974-06-01,11.54,147.6,103597,73.775,2,268.3,881.9,4.342,49,49,79336,196.777,4.1,333.9
1975-06-01,7.07,110.3,108423,80.743,2.1,282.3,966.9,3.784,53.6,53.7,77270,195.933,7.3,369.3
1976-06-01,7.2,154.2,114411,88.478,2.3,295.6,1080.8,3.896,56.8,57.2,80164,213.148,6.3,423.8
1977-06-01,6.75,197.6,121804,95.979,2.3,317.7,1219.8,4.064,60.7,61,83338,242.048,5.8,478.1
1978-06-01,8.63,216,133606,105.629,2.65,345.2,1319,4.498,65.2,65.3,87830,284.526,4.8,501.6
1979-06-01,11.65,191.8,145889,115.894,2.9,371.9,1422.5,5.574,72.3,71.4,90971,327.319,4.6,458.8
1980-06-01,12.63,116.4,158922,126.529,3.1,387.3,1527.4,5.318,82.7,81.1,90922,345.637,6.3,393
1981-06-01,20.03,105.8,163929,137.275,3.35,422.8,1667.1,9.246,90.6,88.7,92296,361.61,6.3,363.4
1982-06-01,16.5,91.1,171679,147.484,3.35,446.2,1822.7,8.483,97,96.3,90669,380.887,8.3,346.2
1983-06-01,10.5,173.2,183320,160.755,3.35,503.5,2051.8,6.474,99.5,99.1,90844,403.838,8.7,690.3
1984-06-01,12.6,184,195695,174.113,3.35,541.4,2214.3,7.448,103.7,104.2,95305,479.799,6.2,700.9
1985-06-01,9.78,163.2,210250,185.308,3.35,585.2,2413.4,5.895,107.6,108.8,98279,559.592,6.4,770.5
1986-06-01,8.5,183.6,230141,198.499,3.35,662.8,2605.3,5.233,109.5,113.1,99973,627.891,6.1,865.4
1987-06-01,8.25,162.9,252859,214.369,3.35,743.8,2773.4,4.724,113.5,117.7,102742,660.313,5.3,971.6
1988-06-01,9,150.2,273081,233.155,3.35,778.5,2935.3,5.111,118,123,106208,710.128,4.6,953.3
1989-06-01,11.07,143.2,283671,247.811,3.35,772.8,3022.6,6.389,124.1,128.5,108937,769.617,4.4,861.8
1990-06-01,10,117.8,301742,265.64,3.8,809,3210.8,5.854,129.9,134.8,110837,798.712,4.5,916.9
1991-06-01,8.5,103.4,318071,290.785,4.25,856.7,3349.7,4.638,136,141.5,109235,801.306,6,985.6
1992-06-01,6.5,117.8,337098,310.16,4.25,951,3388.7,2.958,140.2,146.9,109629,792.332,6.8,1135.6
1993-06-01,6,128.5,375841,342.488,4.25,1071.8,3439.5,2.156,144.4,151.8,111698,818.662,6.2,1208.7
1994-06-01,7.25,136.4,411591,378.375,4.25,1141.8,3477.4,2.244,148,156.2,115276,918.58,5.2,1215.9
1995-06-01,9,123.4,434846,409.062,4.25,1141,3545.5,3.052,152.5,160.9,118348,1063.1263,4.8,1101.6
1996-06-01,8.25,138,446423,423.212,4.25,1115,3721.2,2.857,156.7,165.2,120804,1196.5792,4.5,1209.2
1997-06-01,8.5,140.4,469816,451.597,4.75,1064.8,3889.6,3.02,160.3,169.2,123870,1278.0376,4.2,1332.7
1998-06-01,8.5,159.6,498108,481.339,5.15,1075.2,4164.7,3.028,163,173,127129,1367.744,3.8,1492.2
1999-06-01,7.75,149.4,544016,528.507,5.15,1098.2,4485,2.678,166.2,176.6,130150,1471.5809,3.6,1703.4
2000-06-01,9.5,146.3,581960,568.333,5.15,1101.8,4747.5,3.396,172.4,181,133230,1601.7713,3.4,1786.6
2001-06-01,6.98,155.2,609096,594.37,5.15,1126.3,5149.3,2.438,178,185.9,133435,1784.2492,3.9,2066.7
2002-06-01,4.75,160.3,673966,654.774,5.15,1194.7,5523.6,1.153,179.9,190.1,131711,1917.644,5.1,2520.6
2003-06-01,4.22,174.5,714979,691.954,5.15,1284.7,5978.2,0.738,183.7,193,131239,2021.9304,5.6,3003.9
