date,bank_prime_loan_rate,owned_housing_units,monetary_base,currency_circulation,federal_minimum_wage,m1_money_stock,m2_money_stock,m2_own_rate,cpi_core_urban_consumers,cpi_core_urban_consumers_exclude_food_energy,employees_payroll,consumer_credit,unemployment_rate,savings_deposits
2004-06-01,4.01,172.3,750697,726.437,5.15,1347.7,6258.7,0.662,189.7,196.6,132843,2114.5394,5,3387.5
2005-06-01,6.01,192.8,780669,759.996,5.15,1384.3,6497.8,1.351,194.5,200.6,135071,2232.3891,4.4,3518.4
2006-06-01,8.02,170.2,812366,794.297,5.15,1379,6837.6,2.17,202.9,205.9,137449,2349.6114,4,3629.7
2007-06-01,8.25,137.8,827158,811.079,5.15,1370.8,7269.9,2.521,208.352,210.474,139175,2476.9657,3.9,3813.7
2008-06-01,5,102.5,840175,822.827,5.85,1407.3,7716.9,1.322,218.815,215.553,138682,2620.4528,4.8,4036
2009-06-01,3.25,59.1,1683704,907.576,6.55,1661.7,8428.7,0.487,215.693,219.283,131950,2548.8685,8.7,4476.1
2010-06-01,3.25,53.8,2002433,941.363,7.25,1732.3,8594,0.328,217.965,221.265,131448,2478.4517,8.7,5079.7
2011-06-01,3.25,60.5,2648548,1023.527,7.25,1954.1,9101.1,0.241,225.722,224.891,132889,2653.4789,8.5,5630.2
2012-06-01,3.25,74.7,2618755,1108.545,7.25,2271,9949.6,0.152,229.478,229.879,135005,2791.7124,7.6,6325.5
2013-06-01,3.25,80.7,3201472,1189.693,7.25,2523.5,10631.1,0.113,233.504,233.64,137226,2962.1777,6.9,6859.5
2014-06-01,3.25,87.3,3948691,1279.375,7.25,2824.8,11324.9,0.1,238.343,238.157,139824,3166.9167,5.5,7318.3
2015-06-01,3.25,112.3,3919649,1366.158,7.25,3020.7,11950.9,0.1,238.638,242.354,142700,3394.7626,4.7,7840.4
2016-06-01,3.5,111.6,3825451,1457.506,7.25,3247,12778.2,0.115,241.018,247.794,145222,3491.2142,4.5,8445.5
2017-06-01,4.13,116.3,3762780,1555.21,7.25,3527.8,13516.5,0.18,244.955,252.014,147585,3698.8006,4,8934.5
2018-06-01,4.89,112,3650485,1661.272,7.25,3654.6,14079.2,0.358,251.989,257.697,150062,3854.2661,3.7,9208.4
