date,bank_prime_loan_rate,owned_housing_units,monetary_base,currency_circulation,federal_minimum_wage,m1_money_stock,m2_money_stock,m2_own_rate,cpi_core_urban_consumers,cpi_core_urban_consumers_exclude_food_energy,employees_payroll,consumer_credit,unemployment_rate,savings_deposits
1959-07-01,4.5,148.1,50802,32.042,1,140.3,294.4,1.261,29.2,30.2,53843,52.341,4.3,141.8
1960-07-01,5,114.3,50455,32.175,1,138.9,303.5,1.411,29.6,30.6,54412,58.754,4.6,152
1961-07-01,4.5,126.6,49216,32.585,1,141.5,324.9,1.564,30,31,54288,60.437,5.9,168.4
1962-07-01,4.5,136.5,51314,33.985,1.15,145,350.1,2.139,30.3,31.4,55946,65.601,4.5,185.9
1963-07-01,4.5,151.3,52768,35.746,1.15,149.9,380.2,2.261,30.7,31.8,57013,72.858,4.4,206.9
1964-07-01,4.5,140.6,55426,37.934,1.25,155.5,409.3,2.352,31.1,32.3,58632,82.485,3.9,225.9
1965-07-01,4.5,139.1,58407,39.999,1.25,161.8,442.1,2.501,31.6,32.7,61167,92.928,3.3,247.3
1966-07-01,5.75,99.2,62064,42.818,1.25,169.2,470.3,2.687,32.5,33.6,64470,100.309,2.8,254.5
1967-07-01,5.5,125.3,64821,44.992,1.4,177.2,506.2,2.727,33.4,34.7,66015,104.333,2.9,259.7
1968-07-01,6.5,139.8,69700,48.078,1.6,189.8,546.2,2.787,34.9,36.4,68199,112.303,2.7,265
1969-07-01,8.5,125.2,73725,51.256,1.6,201.2,580.6,2.884,36.8,38.5,70746,124.144,2.6,266.5
1970-07-01,8,140.8,77960,54.699,1.6,208.1,601.2,3.142,39,40.9,71000,129.925,4.1,253.1
1971-07-01,5.91,194.3,84184,58.846,1.6,225.1,682.3,3.165,40.7,42.9,71194,139.882,4.7,282.8
1972-07-01,5.25,206.5,90075,62.671,1.6,239.1,763,3.21,41.9,44.1,73502,157.173,4.5,310.2
1973-07-01,8.3,202.6,95575,68.382,1.6,258.1,840.7,4.219,44.3,45.5,76691,182.159,3.7,330.4
1974-07-01,11.97,126.6,105054,74.597,2,270.1,886,4.076,49.4,49.5,78438,198.116,4.2,334.9
1975-07-01,7.15,119.3,109501,81.87,2.1,284.4,979.7,3.844,54.2,54,76592,197.475,7.2,374.1
1976-07-01,7.25,136.6,115579,89.317,2.3,298.4,1091.6,3.884,57.1,57.6,79393,215.198,6.5,427.3
1977-07-01,6.75,189.8,124091,97.38,2.3,322.2,1232.9,4.079,61,61.2,82677,245.054,5.7,481.8
1978-07-01,9,192.2,135708,107.008,2.65,349.5,1330.1,4.6,65.7,65.7,87002,288.0815,5,498.9
1979-07-01,11.54,164.2,148136,117.81,2.9,378.4,1439.3,5.599,73.1,72,89976,330.9075,4.7,460.9
1980-07-01,11.48,120.1,159940,128.401,3.1,394.6,1549.1,5.547,82.7,80.9,89582,345.7746,6.6,407.1
1981-07-01,20.39,99.9,166041,138.916,3.35,427.7,1685.1,9.437,91.6,89.9,91371,363.3668,6.2,363.9
1982-07-01,16.26,106.8,173381,148.853,3.35,449.5,1835,8.542,97.5,96.7,89338,381.2695,8.5,345.9
1983-07-01,10.5,161.6,185279,162.304,3.35,510.5,2069.7,6.654,99.9,99.6,90271,408.4764,8.2,692.4
1984-07-01,13,162.1,197492,176.433,3.35,543.3,2228,7.729,104.1,104.6,94607,486.1711,6.5,696.3
1985-07-01,9.5,160.7,212277,187.385,3.35,592,2434.8,5.825,107.8,109,97418,566.4785,6.3,783.2
1986-07-01,8.16,172,232992,200.605,3.35,673.4,2632.4,5.059,109.5,113.5,99219,633.6083,6.1,878.5
1987-07-01,8.25,152.4,254802,216.038,3.35,746.2,2785.2,4.75,113.8,118,101990,665.7082,5.3,969.8
1988-07-01,9.29,137,275836,236.066,3.35,785.5,2953.2,5.186,118.5,123.3,105315,713.7065,4.7,955
1989-07-01,10.98,134.7,285701,250.029,3.35,780.7,3055.6,6.305,124.4,129,107848,773.1958,4.6,865.7
1990-07-01,10,111.2,303888,268.948,3.8,811,3224.5,5.81,130.4,135.5,109568,803.0271,4.8,919.9
1991-07-01,8.5,103.5,319987,293.328,4.25,860.9,3354.4,4.584,136.2,142,108033,799.4292,5.9,995.6
1992-07-01,6.02,106.2,340424,313.067,4.25,962,3393.2,2.72,140.5,147.3,108611,792.948,6.8,1144
1993-07-01,6,115.3,379121,346.518,4.25,1083.1,3442.6,2.137,144.4,152,110829,823.9829,6.2,1209.5
1994-07-01,7.25,127.8,415010,383.478,4.25,1150.9,3491.5,2.283,148.4,156.4,114331,925.103,5.4,1211.2
1995-07-01,8.8,129.1,435915,411.218,4.25,1145.7,3569.7,3.046,152.5,161.1,117113,1071.2957,5,1101.5
1996-07-01,8.25,137.5,449831,427.991,4.25,1110.7,3734.4,2.911,157,165.5,119767,1208.2186,4.8,1216.9
1997-07-01,8.5,134.6,473111,455.553,4.75,1065.8,3908.7,3.046,160.5,169.5,122886,1284.4728,4.2,1337.7
1998-07-01,8.5,156,502446,485.205,5.15,1074.2,4183.3,3.016,163.2,173.3,126057,1374.0418,4,1509.5
1999-07-01,8,152.6,548817,533.772,5.15,1097.2,4509.8,2.721,166.7,176.9,129280,1483.7777,3.8,1721.7
2000-07-01,9.5,135,584222,571.216,5.15,1102.8,4763.7,3.468,172.8,181.3,132011,1619.5092,3.5,1798.9
2001-07-01,6.75,154.6,615984,600.387,5.15,1139.7,5177.9,2.306,177.5,186.2,131946,1787.2355,4,2087.3
