date,bank_prime_loan_rate,owned_housing_units,monetary_base,currency_circulation,federal_minimum_wage,m1_money_stock,m2_money_stock,m2_own_rate,cpi_core_urban_consumers,cpi_core_urban_consumers_exclude_food_energy,employees_payroll,consumer_credit,unemployment_rate,savings_deposits
2002-07-01,4.75,155.9,679310,660.96,5.15,1200.4,5564.5,1.15,180.1,190.3,130270,1928.371,5.2,2548.6
2003-07-01,4,175.8,717614,694.257,5.15,1287.9,6021.1,0.664,183.9,193.2,129899,2028.5536,5.5,3061.1
2004-07-01,4.25,182,757304,734.828,5.15,1338.8,6264.9,0.692,189.4,196.6,131682,2124.4681,4.9,3410.7
2005-07-01,6.25,187.6,782860,763.847,5.15,1365.4,6516.7,1.421,195.4,200.8,134011,2243.3824,4.5,3542.2
2006-07-01,8.25,160.9,811505,795.918,5.15,1368.6,6859.1,2.289,203.5,206.2,136273,2363.1473,4.3,3628.2
2007-07-01,8.25,127.9,828938,814.649,5.85,1368.6,7272.7,2.567,208.299,210.756,137778,2498.5618,4.3,3804.7
2008-07-01,5,86.7,847018,829.946,6.55,1417.7,7730.1,1.243,219.964,216.045,137203,2629.3459,5.2,4025.8
2009-07-01,3.25,56.8,1673598,909.56,7.25,1657.7,8395.1,0.478,215.351,219.35,130353,2550.7566,8.9,4499
2010-07-01,3.25,51.5,1994298,944.765,7.25,1718.4,8564.4,0.341,218.011,221.258,130111,2479.8822,8.9,5086.9
2011-07-01,3.25,57.6,2684801,1029.57,7.25,1994.5,9253.9,0.247,225.922,225.164,131615,2676.9503,8.6,5756.6
2012-07-01,3.25,69.2,2647752,1113.756,7.25,2314.6,9994.7,0.141,229.104,229.893,133795,2800.4662,7.8,6341.6
2013-07-01,3.25,84,3290898,1196.581,7.25,2543.7,10670.2,0.114,233.596,233.792,136052,2975.5894,6.9,6880.5
2014-07-01,3.25,101,3989084,1284.825,7.25,2841.2,11380,0.102,238.25,238.138,138745,3187.8145,5.9,7363.3
2015-07-01,3.25,107.2,3961217,1369.775,7.25,3038.4,12001.6,0.099,238.654,242.436,141747,3411.8089,5,7884.2
2016-07-01,3.5,115.2,3772544,1463.677,7.25,3244.7,12839.7,0.121,240.628,247.744,144248,3508.305,4.6,8520.7
2017-07-01,4.25,112.3,3795430,1562.592,7.25,3548.3,13578.9,0.21,244.786,251.936,146481,3712.8279,4.2,8968.2
2018-07-01,5,111.9,3618272,1669.057,7.25,3678,14113.8,0.387,252.006,257.867,148948,3879.0685,3.7,9202
